train: step: 0, loss: 0.6931471824645996, acc: 0.41, recall: 0.41000000000000003, precision: 0.27017364657814097, f_beta: 0.3041632267956127
train: step: 1, loss: 0.6931478381156921, acc: 0.5, recall: 0.5, precision: 0.5, f_beta: 0.3503118503118503
train: step: 2, loss: 0.6931458115577698, acc: 0.52, recall: 0.52, precision: 0.6302083333333333, f_beta: 0.39117199391172
train: step: 3, loss: 0.6931432485580444, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 4, loss: 0.6931473612785339, acc: 0.53, recall: 0.53, precision: 0.5300120048019208, f_beta: 0.5299529952995299
train: step: 5, loss: 0.6931532025337219, acc: 0.47, recall: 0.47, precision: 0.2422680412371134, f_beta: 0.31972789115646255
train: step: 6, loss: 0.6931350231170654, acc: 0.53, recall: 0.53, precision: 0.6578947368421053, f_beta: 0.4106583072100314
train: step: 7, loss: 0.6931469440460205, acc: 0.51, recall: 0.51, precision: 0.5101999184006528, f_beta: 0.5075871771681238
train: step: 8, loss: 0.6931483745574951, acc: 0.62, recall: 0.62, precision: 0.6231527093596059, f_beta: 0.6175523349436394
train: step: 9, loss: 0.6930375099182129, acc: 0.56, recall: 0.5599999999999999, precision: 0.6420454545454546, f_beta: 0.4857410004675081
train: step: 10, loss: 0.6931462287902832, acc: 0.56, recall: 0.56, precision: 0.5608766233766234, f_beta: 0.5584102769971899
train: step: 11, loss: 0.6931511163711548, acc: 0.5, recall: 0.5, precision: 0.5, f_beta: 0.3503118503118503
train: step: 12, loss: 0.6931479573249817, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 13, loss: 0.6931575536727905, acc: 0.5, recall: 0.5, precision: 0.5, f_beta: 0.3503118503118503
train: step: 14, loss: 0.6931473612785339, acc: 0.53, recall: 0.53, precision: 0.5310045473336089, f_beta: 0.5261619114830125
train: step: 15, loss: 0.693101704120636, acc: 0.54, recall: 0.54, precision: 0.7604166666666667, f_beta: 0.4165398274987316
train: step: 16, loss: 0.6931473016738892, acc: 0.49, recall: 0.49, precision: 0.46159754224270355, f_beta: 0.37430990062569014
train: step: 17, loss: 0.6931607127189636, acc: 0.49, recall: 0.49, precision: 0.4473684210526316, f_beta: 0.3605015673981191
train: step: 18, loss: 0.6931480169296265, acc: 0.45, recall: 0.45, precision: 0.449000407996736, f_beta: 0.4472917294744247
train: step: 19, loss: 0.6931469440460205, acc: 0.48, recall: 0.48000000000000004, precision: 0.41134751773049644, f_beta: 0.3551587301587301
train: step: 20, loss: 0.6931473612785339, acc: 0.54, recall: 0.54, precision: 0.5445632798573975, f_beta: 0.5279146141215106
train: step: 21, loss: 0.6931714415550232, acc: 0.46, recall: 0.46, precision: 0.3641304347826087, f_beta: 0.34434191355026716
train: step: 22, loss: 0.6931478977203369, acc: 0.47, recall: 0.47000000000000003, precision: 0.4689954526663911, f_beta: 0.46567194273616297
train: step: 23, loss: 0.6931569576263428, acc: 0.51, recall: 0.51, precision: 0.7525252525252526, f_beta: 0.3551783129359126
train: step: 24, loss: 0.6931430101394653, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 25, loss: 0.6931465864181519, acc: 0.55, recall: 0.55, precision: 0.5666666666666667, f_beta: 0.52
train: step: 26, loss: 0.6931312680244446, acc: 0.51, recall: 0.51, precision: 0.5221043324491601, f_beta: 0.43227899432278993
train: step: 27, loss: 0.6931503415107727, acc: 0.5, recall: 0.5, precision: 0.5, f_beta: 0.47916666666666663
train: step: 28, loss: 0.6931984424591064, acc: 0.45, recall: 0.44999999999999996, precision: 0.37231869254341166, f_beta: 0.35133860125014743
train: step: 29, loss: 0.6931465268135071, acc: 0.49, recall: 0.49, precision: 0.2474747474747475, f_beta: 0.32885906040268453
train: step: 30, loss: 0.6931455731391907, acc: 0.51, recall: 0.51, precision: 0.5526315789473684, f_beta: 0.38557993730407525
train: step: 31, loss: 0.6928796172142029, acc: 0.62, recall: 0.62, precision: 0.6378676470588236, f_beta: 0.6072757337742869
train: step: 32, loss: 0.6931469440460205, acc: 0.54, recall: 0.54, precision: 0.5445632798573975, f_beta: 0.5279146141215106
train: step: 33, loss: 0.6931453943252563, acc: 0.54, recall: 0.54, precision: 0.54, f_beta: 0.54
train: step: 34, loss: 0.6931492686271667, acc: 0.47, recall: 0.47000000000000003, precision: 0.4689954526663911, f_beta: 0.46567194273616297
train: step: 35, loss: 0.693123996257782, acc: 0.56, recall: 0.5599999999999999, precision: 0.6666666666666667, f_beta: 0.4761904761904763
train: step: 36, loss: 0.6931427121162415, acc: 0.51, recall: 0.51, precision: 0.5255362614913177, f_beta: 0.4221016629319495
train: step: 37, loss: 0.6931479573249817, acc: 0.5, recall: 0.5, precision: 0.5, f_beta: 0.3503118503118503
train: step: 38, loss: 0.6931139230728149, acc: 0.52, recall: 0.52, precision: 0.5555555555555556, f_beta: 0.42857142857142855
train: step: 39, loss: 0.6933653950691223, acc: 0.41, recall: 0.41000000000000003, precision: 0.3235294117647059, f_beta: 0.32763532763532766
train: step: 40, loss: 0.6931185126304626, acc: 0.52, recall: 0.52, precision: 0.6302083333333333, f_beta: 0.39117199391172
train: step: 41, loss: 0.693149209022522, acc: 0.5, recall: 0.5, precision: 0.5, f_beta: 0.49919871794871795
train: step: 42, loss: 0.692931592464447, acc: 0.56, recall: 0.56, precision: 0.5668449197860963, f_beta: 0.548440065681445
train: step: 43, loss: 0.6931483745574951, acc: 0.48, recall: 0.48, precision: 0.4320652173913043, f_beta: 0.36862554638173867
train: step: 44, loss: 0.693149745464325, acc: 0.44, recall: 0.44, precision: 0.43990384615384615, f_beta: 0.4397759103641457
train: step: 45, loss: 0.6931526064872742, acc: 0.49, recall: 0.49, precision: 0.4140893470790378, f_beta: 0.3453985367731998
train: step: 46, loss: 0.6931174397468567, acc: 0.55, recall: 0.55, precision: 0.5980392156862745, f_beta: 0.4871794871794872
train: step: 47, loss: 0.6931608319282532, acc: 0.52, recall: 0.52, precision: 0.7551020408163265, f_beta: 0.3762993762993764
train: step: 48, loss: 0.6931580901145935, acc: 0.37, recall: 0.37, precision: 0.36057486057486055, f_beta: 0.359169972535856
train: step: 49, loss: 0.6931564211845398, acc: 0.41, recall: 0.41000000000000003, precision: 0.40542244640605296, f_beta: 0.4027735600769308
train: step: 50, loss: 0.6931438446044922, acc: 0.54, recall: 0.54, precision: 0.5405844155844155, f_beta: 0.5383380168606985
train: step: 51, loss: 0.6931176781654358, acc: 0.53, recall: 0.53, precision: 0.6578947368421053, f_beta: 0.4106583072100314
train: step: 52, loss: 0.6931558847427368, acc: 0.46, recall: 0.46, precision: 0.4594155844155844, f_beta: 0.45804897631473307
train: step: 53, loss: 0.6931403875350952, acc: 0.58, recall: 0.5800000000000001, precision: 0.5801282051282051, f_beta: 0.5798319327731092
train: step: 54, loss: 0.693157970905304, acc: 0.43, recall: 0.43, precision: 0.42860057119543044, f_beta: 0.42719324690985827
train: step: 55, loss: 0.6909328699111938, acc: 0.58, recall: 0.5800000000000001, precision: 0.625, f_beta: 0.5384615384615385
train: step: 56, loss: 0.6931424140930176, acc: 0.48, recall: 0.48000000000000004, precision: 0.46612466124661245, f_beta: 0.4206773618538324
train: step: 57, loss: 0.6931151747703552, acc: 0.52, recall: 0.52, precision: 0.5202922077922079, f_beta: 0.5182657567242072
train: step: 58, loss: 0.6926743984222412, acc: 0.6, recall: 0.6, precision: 0.6370614035087719, f_beta: 0.570999570999571
train: step: 59, loss: 0.6946530938148499, acc: 0.43, recall: 0.43, precision: 0.3862897985705003, f_beta: 0.36939926983073346
train: step: 60, loss: 0.6912580728530884, acc: 0.55, recall: 0.55, precision: 0.5634195839675291, f_beta: 0.5248653785239151
train: step: 61, loss: 0.6917724013328552, acc: 0.54, recall: 0.54, precision: 0.5830564784053156, f_beta: 0.4715073529411765
train: step: 62, loss: 0.6938635110855103, acc: 0.47, recall: 0.47000000000000003, precision: 0.4694002447980416, f_beta: 0.467390212038991
train: step: 63, loss: 0.6943873763084412, acc: 0.39, recall: 0.39, precision: 0.3878008975928192, f_beta: 0.38699628178072554
train: step: 64, loss: 0.6928358674049377, acc: 0.57, recall: 0.57, precision: 0.5769230769230769, f_beta: 0.5601023017902813
train: step: 65, loss: 0.6933544874191284, acc: 0.47, recall: 0.47000000000000003, precision: 0.4689954526663911, f_beta: 0.46567194273616297
train: step: 66, loss: 0.6938201785087585, acc: 0.47, recall: 0.47, precision: 0.4411764705882353, f_beta: 0.396011396011396
train: step: 67, loss: 0.6933901309967041, acc: 0.48, recall: 0.48, precision: 0.47771836007130125, f_beta: 0.4663382594417077
train: step: 68, loss: 0.6928901076316833, acc: 0.51, recall: 0.51, precision: 0.5100361300682457, f_beta: 0.5095586027424682
