train: step: 0, loss: 0.285592645406723, acc: 0.49, recall: 0.49, precision: 0.48966515088879703, f_beta: 0.48583526565177937
train: step: 1, loss: 0.28479528427124023, acc: 0.59, recall: 0.5900000000000001, precision: 0.5909090909090908, f_beta: 0.5889724310776943
train: step: 2, loss: 0.283591628074646, acc: 0.64, recall: 0.64, precision: 0.681912681912682, f_beta: 0.6179966044142614
train: step: 3, loss: 0.27978143095970154, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 4, loss: 0.2797132730484009, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 5, loss: 0.27771422266960144, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 6, loss: 0.26572009921073914, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 7, loss: 0.2593422532081604, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 8, loss: 0.26617851853370667, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 9, loss: 0.25372037291526794, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 10, loss: 0.25444892048835754, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 11, loss: 0.25796979665756226, acc: 0.64, recall: 0.64, precision: 0.6666666666666666, f_beta: 0.625
train: step: 12, loss: 0.27725109457969666, acc: 0.49, recall: 0.49, precision: 0.4140893470790378, f_beta: 0.3453985367731998
train: step: 13, loss: 0.25337183475494385, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 14, loss: 0.24999211728572845, acc: 0.52, recall: 0.52, precision: 0.6302083333333333, f_beta: 0.39117199391172
train: step: 15, loss: 0.2533755600452423, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 16, loss: 0.25139838457107544, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 17, loss: 0.25052544474601746, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 18, loss: 0.2492275983095169, acc: 0.54, recall: 0.54, precision: 0.7604166666666667, f_beta: 0.4165398274987316
train: step: 19, loss: 0.24914191663265228, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 20, loss: 0.25506651401519775, acc: 0.53, recall: 0.53, precision: 0.7577319587628866, f_beta: 0.39673982800667434
train: step: 21, loss: 0.24962280690670013, acc: 0.67, recall: 0.6699999999999999, precision: 0.6922207146087743, f_beta: 0.6601791782514674
train: step: 22, loss: 0.2511255741119385, acc: 0.62, recall: 0.62, precision: 0.7840909090909092, f_beta: 0.5558672276764843
train: step: 23, loss: 0.2543250024318695, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 24, loss: 0.25106242299079895, acc: 0.57, recall: 0.5700000000000001, precision: 0.7688172043010753, f_beta: 0.4724573671942093
train: step: 25, loss: 0.24902130663394928, acc: 0.76, recall: 0.76, precision: 0.7821180555555556, f_beta: 0.755201958384333
train: step: 26, loss: 0.25146254897117615, acc: 0.68, recall: 0.6799999999999999, precision: 0.6847290640394088, f_beta: 0.677938808373591
train: step: 27, loss: 0.25005924701690674, acc: 0.52, recall: 0.52, precision: 0.6302083333333333, f_beta: 0.39117199391172
train: step: 28, loss: 0.24573105573654175, acc: 0.73, recall: 0.73, precision: 0.7323232323232323, f_beta: 0.7293233082706766
