train: step: 0, loss: 0.37088271975517273, acc: 0.44, recall: 0.43999999999999995, precision: 0.41776315789473684, f_beta: 0.3993993993993994
train: step: 1, loss: 0.37073609232902527, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 2, loss: 0.3692548871040344, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 3, loss: 0.36506617069244385, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 4, loss: 0.2842061519622803, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 5, loss: 0.340591162443161, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 6, loss: 0.2870957553386688, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 7, loss: 0.31061241030693054, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 8, loss: 0.3601212799549103, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 9, loss: 0.3158285319805145, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 10, loss: 0.2700032889842987, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 11, loss: 0.26381242275238037, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 12, loss: 0.26973235607147217, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 13, loss: 0.2574518620967865, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 14, loss: 0.25207120180130005, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 15, loss: 0.2664237916469574, acc: 0.51, recall: 0.51, precision: 0.7525252525252526, f_beta: 0.3551783129359126
train: step: 16, loss: 0.2536216080188751, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 17, loss: 0.2580069601535797, acc: 0.69, recall: 0.69, precision: 0.690686471296668, f_beta: 0.6897207486738064
train: step: 18, loss: 0.25494807958602905, acc: 0.49, recall: 0.49, precision: 0.4473684210526316, f_beta: 0.3605015673981191
train: step: 19, loss: 0.25998929142951965, acc: 0.52, recall: 0.52, precision: 0.5679347826086957, f_beta: 0.4171928120446819
train: step: 20, loss: 0.2614365518093109, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 21, loss: 0.2559705972671509, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 22, loss: 0.28801026940345764, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
