train: step: 0, loss: 0.6931511759757996, acc: 0.5, recall: 0.5, precision: 0.5, f_beta: 0.3730407523510972
train: step: 1, loss: 0.6931804418563843, acc: 0.525, recall: 0.525, precision: 0.5900900900900901, f_beta: 0.4202898550724638
train: step: 2, loss: 0.6931474804878235, acc: 0.4, recall: 0.4, precision: 0.398989898989899, f_beta: 0.39849624060150374
train: step: 3, loss: 0.6931460499763489, acc: 0.45, recall: 0.45, precision: 0.3611111111111111, f_beta: 0.34523809523809523
train: step: 4, loss: 0.6934821605682373, acc: 0.45, recall: 0.45, precision: 0.23684210526315788, f_beta: 0.3103448275862069
train: step: 5, loss: 0.6931478381156921, acc: 0.475, recall: 0.475, precision: 0.47333333333333333, f_beta: 0.4666666666666666
train: step: 6, loss: 0.6931502223014832, acc: 0.475, recall: 0.475, precision: 0.24358974358974358, f_beta: 0.3220338983050847
train: step: 7, loss: 0.6931163668632507, acc: 0.525, recall: 0.525, precision: 0.7564102564102564, f_beta: 0.38660209846650523
train: step: 8, loss: 0.6931470036506653, acc: 0.55, recall: 0.55, precision: 0.5505050505050505, f_beta: 0.5488721804511277
train: step: 9, loss: 0.6931396722793579, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 10, loss: 0.6931475400924683, acc: 0.325, recall: 0.325, precision: 0.32097186700767266, f_beta: 0.32118164676304206
train: step: 11, loss: 0.6931318044662476, acc: 0.55, recall: 0.55, precision: 0.763157894736842, f_beta: 0.4357366771159875
train: step: 12, loss: 0.693145751953125, acc: 0.55, recall: 0.55, precision: 0.763157894736842, f_beta: 0.4357366771159875
train: step: 13, loss: 0.693139374256134, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 14, loss: 0.6931456327438354, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 15, loss: 0.6931489109992981, acc: 0.35, recall: 0.35000000000000003, precision: 0.3214285714285714, f_beta: 0.3229166666666667
train: step: 16, loss: 0.6931613683700562, acc: 0.5, recall: 0.5, precision: 0.5, f_beta: 0.3730407523510972
train: step: 17, loss: 0.6930931210517883, acc: 0.55, recall: 0.55, precision: 0.5666666666666667, f_beta: 0.52
train: step: 18, loss: 0.6931471824645996, acc: 0.55, recall: 0.55, precision: 0.5505050505050505, f_beta: 0.5488721804511277
train: step: 19, loss: 0.6931461095809937, acc: 0.4, recall: 0.4, precision: 0.39583333333333337, f_beta: 0.3939393939393939
train: step: 20, loss: 0.6931469440460205, acc: 0.5, recall: 0.5, precision: 0.5, f_beta: 0.4505494505494506
train: step: 21, loss: 0.6931493878364563, acc: 0.45, recall: 0.45, precision: 0.44791666666666663, f_beta: 0.4444444444444444
train: step: 22, loss: 0.6931471228599548, acc: 0.525, recall: 0.525, precision: 0.525062656641604, f_beta: 0.5247029393370857
train: step: 23, loss: 0.6931535005569458, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 24, loss: 0.6931549310684204, acc: 0.45, recall: 0.45, precision: 0.4019607843137255, f_beta: 0.37321937321937326
train: step: 25, loss: 0.6931504011154175, acc: 0.525, recall: 0.525, precision: 0.525062656641604, f_beta: 0.5247029393370857
train: step: 26, loss: 0.6931374669075012, acc: 0.5, recall: 0.5, precision: 0.5, f_beta: 0.3730407523510972
train: step: 27, loss: 0.6931365728378296, acc: 0.475, recall: 0.475, precision: 0.24358974358974358, f_beta: 0.3220338983050847
train: step: 28, loss: 0.6931419968605042, acc: 0.675, recall: 0.675, precision: 0.6754385964912281, f_beta: 0.6747967479674797
train: step: 29, loss: 0.6931459307670593, acc: 0.5, recall: 0.5, precision: 0.5, f_beta: 0.4949494949494949
train: step: 30, loss: 0.693168044090271, acc: 0.475, recall: 0.475, precision: 0.24358974358974358, f_beta: 0.3220338983050847
train: step: 31, loss: 0.6931549906730652, acc: 0.475, recall: 0.475, precision: 0.24358974358974358, f_beta: 0.3220338983050847
train: step: 32, loss: 0.6931635737419128, acc: 0.475, recall: 0.475, precision: 0.24358974358974358, f_beta: 0.3220338983050847
train: step: 33, loss: 0.69316565990448, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 34, loss: 0.6931467056274414, acc: 0.475, recall: 0.475, precision: 0.47333333333333333, f_beta: 0.4666666666666666
train: step: 35, loss: 0.6931152939796448, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 36, loss: 0.6932659149169922, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 37, loss: 0.6931708455085754, acc: 0.5, recall: 0.5, precision: 0.5, f_beta: 0.4505494505494506
train: step: 38, loss: 0.6932093501091003, acc: 0.475, recall: 0.475, precision: 0.44285714285714284, f_beta: 0.38909090909090915
train: step: 39, loss: 0.693152904510498, acc: 0.525, recall: 0.525, precision: 0.5266666666666666, f_beta: 0.5174603174603175
train: step: 40, loss: 0.693146824836731, acc: 0.45, recall: 0.45, precision: 0.45, f_beta: 0.45
train: step: 41, loss: 0.6931726336479187, acc: 0.45, recall: 0.45, precision: 0.23684210526315788, f_beta: 0.3103448275862069
train: step: 42, loss: 0.693151593208313, acc: 0.35, recall: 0.35, precision: 0.35, f_beta: 0.35
train: step: 43, loss: 0.6931332349777222, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 44, loss: 0.6931832432746887, acc: 0.5, recall: 0.5, precision: 0.5, f_beta: 0.3730407523510972
train: step: 45, loss: 0.6931448578834534, acc: 0.65, recall: 0.6499999999999999, precision: 0.6515151515151515, f_beta: 0.6491228070175439
train: step: 46, loss: 0.6930353045463562, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 47, loss: 0.6931493878364563, acc: 0.4, recall: 0.39999999999999997, precision: 0.34375, f_beta: 0.34065934065934067
train: step: 48, loss: 0.6931477785110474, acc: 0.5, recall: 0.5, precision: 0.5, f_beta: 0.3730407523510972
train: step: 49, loss: 0.6931468844413757, acc: 0.55, recall: 0.55, precision: 0.5520833333333333, f_beta: 0.5454545454545454
train: step: 50, loss: 0.6931825876235962, acc: 0.475, recall: 0.47500000000000003, precision: 0.40990990990990994, f_beta: 0.35926773455377575
train: step: 51, loss: 0.6931125521659851, acc: 0.575, recall: 0.575, precision: 0.7702702702702703, f_beta: 0.4813119755911518
train: step: 52, loss: 0.693245530128479, acc: 0.475, recall: 0.475, precision: 0.24358974358974358, f_beta: 0.3220338983050847
train: step: 53, loss: 0.6931470036506653, acc: 0.525, recall: 0.525, precision: 0.5432900432900433, f_beta: 0.46890286512928026
train: step: 54, loss: 0.6931443214416504, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 55, loss: 0.6931509375572205, acc: 0.55, recall: 0.55, precision: 0.5520833333333333, f_beta: 0.5454545454545454
train: step: 56, loss: 0.69300776720047, acc: 0.55, recall: 0.55, precision: 0.5980392156862745, f_beta: 0.4871794871794872
train: step: 57, loss: 0.6931212544441223, acc: 0.5, recall: 0.5, precision: 0.5, f_beta: 0.3730407523510972
train: step: 58, loss: 0.6931546330451965, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 59, loss: 0.6931484937667847, acc: 0.425, recall: 0.42500000000000004, precision: 0.42000000000000004, f_beta: 0.4158730158730159
train: step: 60, loss: 0.6930531859397888, acc: 0.525, recall: 0.525, precision: 0.5900900900900901, f_beta: 0.4202898550724638
train: step: 61, loss: 0.6931460499763489, acc: 0.45, recall: 0.44999999999999996, precision: 0.44505494505494503, f_beta: 0.4373401534526854
train: step: 62, loss: 0.693136990070343, acc: 0.45, recall: 0.45, precision: 0.4494949494949495, f_beta: 0.4486215538847118
train: step: 63, loss: 0.6931703686714172, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 64, loss: 0.6931481957435608, acc: 0.5, recall: 0.5, precision: 0.5, f_beta: 0.47916666666666663
train: step: 65, loss: 0.6931460499763489, acc: 0.45, recall: 0.45, precision: 0.44791666666666663, f_beta: 0.4444444444444444
train: step: 66, loss: 0.6930540800094604, acc: 0.55, recall: 0.5499999999999999, precision: 0.6388888888888888, f_beta: 0.46428571428571425
train: step: 67, loss: 0.6931585073471069, acc: 0.45, recall: 0.45, precision: 0.45, f_beta: 0.45
train: step: 68, loss: 0.6931504011154175, acc: 0.55, recall: 0.55, precision: 0.5505050505050505, f_beta: 0.5488721804511277
train: step: 69, loss: 0.6931947469711304, acc: 0.475, recall: 0.47500000000000003, precision: 0.40990990990990994, f_beta: 0.35926773455377575
train: step: 70, loss: 0.6931482553482056, acc: 0.475, recall: 0.475, precision: 0.24358974358974358, f_beta: 0.3220338983050847
train: step: 71, loss: 0.6931583285331726, acc: 0.5, recall: 0.5, precision: 0.5, f_beta: 0.3730407523510972
train: step: 72, loss: 0.6931428909301758, acc: 0.525, recall: 0.525, precision: 0.5255754475703325, f_beta: 0.5223130106851037
train: step: 73, loss: 0.6932330131530762, acc: 0.45, recall: 0.45, precision: 0.23684210526315788, f_beta: 0.3103448275862069
train: step: 74, loss: 0.6931455731391907, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 75, loss: 0.6930807828903198, acc: 0.5, recall: 0.5, precision: 0.25, f_beta: 0.3333333333333333
train: step: 76, loss: 0.6931120753288269, acc: 0.475, recall: 0.475, precision: 0.24358974358974358, f_beta: 0.3220338983050847
train: step: 77, loss: 0.6931418180465698, acc: 0.525, recall: 0.525, precision: 0.5255754475703325, f_beta: 0.5223130106851037
train: step: 78, loss: 0.6931377649307251, acc: 0.675, recall: 0.675, precision: 0.6754385964912281, f_beta: 0.6747967479674797
train: step: 79, loss: 0.6931904554367065, acc: 0.475, recall: 0.475, precision: 0.24358974358974358, f_beta: 0.3220338983050847
train: step: 80, loss: 0.6932150721549988, acc: 0.45, recall: 0.45, precision: 0.23684210526315788, f_beta: 0.3103448275862069
